Two numbers are in the ratio [a] to [b] . If the sum of numbers is [c] , find the numbers .	[b]*VAR_0=[a]*VAR_1,VAR_0+VAR_1=[c]	{'[a]': '8.0', '[b]': '3.0', '[c]': '143.0'}	[39.0,104.0]
[a] of Joe 's income each month goes to taxes . If she pays [b] dollars in taxes each month , what is her monthly income in dollars ?	[a]*VAR_0=[b]	{'[a]': '0.4', '[b]': '848.0'}	[2120.0]
Jordan 's salary is [a] dollars a month plus a [b] % commission on all of his sales . What must the amount of his sales be , in dollars , for him to earn at least [c] dollars each month ?	[a]+([b]*0.01*VAR_0)=[c]	{'[a]': '1250.0', '[b]': '5.0', '[c]': '1500.0'}	[5000.0]
A petroleum company has two different sources of crude oil . The first source provides crude oil that is [a] % hydrocarbons and the second one provides crude oil that is [b] % hydrocarbons . In order to obtain [c] gallons of crude oil that is [d] % hydrocarbons , how many gallons of crude oil must be used from each of the two sources ?	(([a]*0.01)*VAR_0)+(([b]*0.01)*VAR_1)=([c]*[d])*0.01,VAR_0+VAR_1=[c]	{'[a]': '25.0', '[b]': '75.0', '[c]': '50.0', '[d]': '55.0'}	[20.0,30.0]
Steve has [a] coins consisting of dimes and nickels . If the value of the coins is [b] dollars , then how many dimes does he have ?	(0.05*VAR_1)+(0.1*VAR_0)=[b],VAR_1+VAR_0=[a]	{'[a]': '36.0', '[b]': '3.1'}	[26.0]
The selling price of a pair of pants is [a] dollars . If the store paid [b] dollars less for the pants , find the price that the store paid , in dollars .	VAR_0=[a]-[b]	{'[a]': '34.0', '[b]': '8.0'}	[26.0]
A [a] % sugar solution is added to an [b] % sugar solution to create [c] milliliters of a [d] % solution . How many milliliters of the [a] % solution should be used ? How many millileters of the [b] % solution ?	(([a]*0.01)*VAR_1)+(([b]*0.01)*VAR_0)=[d]*0.01*([c]),VAR_1+VAR_0=[c]	{'[a]': '40.0', '[b]': '85.0', '[c]': '1800.0', '[d]': '60.0'}	[1000.0,800.0]
A department store held a sale to sell all of the [a] winter jackets that remained after the season ended . Until noon , each jacket in the store was priced at [b] dollars . At noon , the price of the jackets was further reduced to [c] dollars . After the last jacket was sold , the total receipts for the clearance sale were [d] dollars . How many jackets were sold before noon and how many jackets were sold after noon ?	([b]*VAR_1)+([c]*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '214.0', '[b]': '31.95', '[c]': '18.95', '[d]': '5108.3'}	[81.0,133.0]
The sum of [a] of a number and two is eight . Find the number .	([a]*VAR_0)+2.0=8.0	{'[a]': '0.75'}	[8.0]
The sum of [a] numbers is [b] . [c] times one of the numbers is [d] less than [e] times the other . What is the smaller number ? What is the larger number ?	[c]*VAR_0=([e]*VAR_1)-[d],VAR_0+VAR_1=[b]	{'[a]': '2.0', '[b]': '15.0', '[c]': '3.0', '[d]': '11.0', '[e]': '5.0'}	[7.0,8.0]
[a] less than [b] times a number equals [c] . What is the number ?	([b]*VAR_0)-[a]=[c]	{'[a]': '7.0', '[b]': '4.0', '[c]': '13.0'}	[5.0]
A bricklayer lays an average of [a] bricks per hour . During a job , he is called away and replaced by a less experienced man , who averages [b] bricks per hour . The two men laid [c] bricks in [d] hours . How long did each work ?	([a]*VAR_0)+([b]*VAR_1)=[c],VAR_0+VAR_1=[d]	{'[a]': '150.0', '[b]': '120.0', '[c]': '930.0', '[d]': '7.0'}	[3.0,4.0]
The Drama Club sold [a] tickets for the end-of-year-performance . Admission prices were [b] dollars for adults and [c] dollars for students . The total amount collected at the box office was [d] dollars . How many students attended the play ? How many adult attended the play ?	([c]*VAR_1)+([b]*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '1500.0', '[b]': '12.0', '[c]': '6.0', '[d]': '16200.0'}	[300.0]
The number of boys in eighth grade is [a] less than twice the number of girls . There are [b] students in eighth grade . How many are girls ?	(2.0*VAR_1)-[a]=VAR_0,VAR_1+VAR_0=[b]	{'[a]': '16.0', '[b]': '68.0'}	[28.0]
The sum of [a] numbers is [b] . Twice the larger number exceeds [c] times the smaller number by [d] . Find the number.	[a]*VAR_0=[d]+([c]*VAR_1),VAR_1+VAR_0=[b]	{'[a]': '2.0', '[b]': '43.0', '[c]': '3.0', '[d]': '16.0'}	[14.0,29.0]
It took me [a] minutes to walk [b] meters . How fast was I travelling ?	VAR_0=[b]/[a]	{'[a]': '6.0', '[b]': '500.0'}	[83.33]
Paul has [a] postcards . He has [b] times as many large postcards as small postcards . How many small postcards does he have ? How many large postcards ?	VAR_1+VAR_0=[a],VAR_0=[b]*VAR_1	{'[a]': '30.0', '[b]': '4.0'}	[6.0,24.0]
Student tickets cost [a] dollars and general admission tickets cost [b] dollars . You sell [c] tickets and collect [d] dollars . How many student tickets did you sell ? How many general admission tickets did you sell ?	([a]*VAR_1)+([b]*VAR_0)=[d],VAR_1+VAR_0=[c]	{'[a]': '4.0', '[b]': '6.0', '[c]': '525.0', '[d]': '2876.0'}	[137.0,388.0]
The total cost of a pair of pants and a belt was [a] dollars . If the price of the pair of pants was [b] dollars less than the belt , what was the price of the pair of pants ?	VAR_0+VAR_1=[a],VAR_1=VAR_0-[b]	{'[a]': '70.93', '[b]': '2.93'}	[34.0]
A merchant wants to combine peanuts selling [a] dollars per pound and cashews selling for [b] dollars per pound to form [c] pounds which will sell at [d] dollars per pound . What amount of peanuts and what amount of cashews must be used ?	([a]*VAR_1)+([b]*VAR_0)=[c]*[d],VAR_1+VAR_0=[c]	{'[a]': '2.4', '[b]': '6.0', '[c]': '60.0', '[d]': '3.0'}	[50.0,10.0]
Marco has [a] coins , all nickels and dimes . He has [b] more dimes than nickels . How many nickels and how many dimes does he have ?	[b]+VAR_1=VAR_0,VAR_0+VAR_1=[a]	{'[a]': '150.0', '[b]': '12.0'}	[69.0,81.0]
A farmer grows only sunflowers and flax on his [a] acre farm . This year he wants to plant [b] more acres of sunflowers than flax . How many acres of sunflowers does the farmer need to plant ? How many acres of flax ?	VAR_1+VAR_0=[a],VAR_1=[b]+VAR_0	{'[a]': '240.0', '[b]': '80.0'}	[160.0,80.0]
[a] high speed trains are [b] miles apart and traveling toward each other . They meet in [c] hours . If one train is [d] miles per hour faster than the other , find the speed of the slower train in miles per hour . Find the speed of the faster train .	([c]*VAR_1)+([c]*VAR_0)=[b],[d]+VAR_1=VAR_0	{'[a]': '2.0', '[b]': '380.0', '[c]': '4.0', '[d]': '15.0'}	[40.0,55.0]
[a] is divided in two parts such that [b] time the first part added to [c] times the second part makes [d] . What is the first part ?	([b]*VAR_0)+([c]*VAR_1)=[d],VAR_0+VAR_1=[a]	{'[a]': '24.0', '[b]': '7.0', '[c]': '5.0', '[d]': '146.0'}	[13.0]
You had [a] dollars to spend and purchased [b] sets of dishes . If you spent everything , how many [c] dollars sets did you purchase ? How many [d] dollars sets did you purchase ?	([c]*VAR_1)+([d]*VAR_0)=[a],VAR_1+VAR_0=[b]	{'[a]': '6800.0', '[b]': '250.0', '[c]': '20.0', '[d]': '45.0'}	[178.0,72.0]
During a 4th of July weekend , [a] vehicles became trapped on the Sunshine Skyway Bridge while it was being repaved . A recent city ordinance decreed that only cars with [b] wheels and trucks with six wheels could be on the bridge at any given time . If there were [c] tires that needed to be replaced to due to damage , how many cars and trucks were involved in the incident ?	([b]*VAR_0)+(6.0*VAR_1)=[c],VAR_0+VAR_1=[a]	{'[a]': '32.0', '[b]': '4.0', '[c]': '148.0'}	[22.0,10.0]
There are [a] animals total , all sheep and chickens . If there are [b] legs total , how many of the [a] animals are sheep ? How many are chickens ?	(4.0*VAR_1)+(2.0*VAR_0)=[b],VAR_1+VAR_0=[a]	{'[a]': '21.0', '[b]': '56.0'}	[7.0,14.0]
Arthur bought [a] hamburgers and [b] hot dogs for [c] dollars . The next day , he bought [d] hamburgers and [a] hot dogs for [e] dollars . How much does a hot dog cost ?	([a]*VAR_0)+([b]*VAR_1)=[c],([d]*VAR_0)+([a]*VAR_1)=[e]	{'[a]': '3.0', '[b]': '4.0', '[c]': '10.0', '[d]': '2.0', '[e]': '7.0'}	[1.0]
An auditorium has [a] balcony seats and [b] main-level seats . If tickets for balcony seats will cost [c] dollars less than tickets for main-level seats , what should the prices be for the main-level seats and prices for the balcony seats , so that the total revenue from a sellout performance will be [d] ?	([a]*VAR_0)+([b]*VAR_1)=[d],VAR_0=VAR_1-[c]	{'[a]': '500.0', '[b]': '1800.0', '[c]': '15.0', '[d]': '84500.0'}	[40.0,25.0]
E-Chem Testing has a solution that is [a] % base and another that is [b] % base . A technician needs [c] liters of a solution that is [d] % base . The [c] liters will be prepared by mixing the two solutions on hand . How much of the [a] % base and the [b] % base should be used ?	[a]*0.01*VAR_0+[b]*0.01*VAR_1=[d]*0.01*[c],VAR_0+VAR_1=[c]	{'[a]': '80.0', '[b]': '30.0', '[c]': '150.0', '[d]': '62.0'}	[96.0,54.0]
One year Walt invested [a] dollars . He invested part of the money at [b] % and the rest at [c] % . He made a total of [d] dollars in interest . How much was invested at [b] % ?	(([b]*0.01)*VAR_1)+(([c]*0.01)*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '12000.0', '[b]': '7.0', '[c]': '9.0', '[d]': '970.0'}	[5500.0]
The cost of [a] gallons of regular gasoline and [b] gallons of premium gasoline is [c] dollars . Premium costs [d] dollars more per gallon than regular . What is the cost per gallon of each type of gasoline ?	([a]*VAR_1)+([b]*VAR_0)=[c],VAR_0=[d]+VAR_1	{'[a]': '12.0', '[b]': '18.0', '[c]': '44.46', '[d]': '0.22'}	[1.35,1.57]
To make a weak solution of [a] liters of [b] % acid , a lab technician will use some premixed solutions : one is [c] % acid and the other is [d] % acid . How many liters of each , respectively , should he use to obtain the desired solution ?	[c]*0.01*VAR_1+[d]*0.01*VAR_0=[b]*0.01*[a],VAR_1+VAR_0=[a]	{'[a]': '24.0', '[b]': '4.0', '[c]': '2.0', '[d]': '5.0'}	[8.0,16.0]
Ilida went to Minewaska Sate Park one day this summer . All of the people at the park were either hiking or bike riding . There were [a] more hikers than bike riders . If there were a total of [b] people at the park , how many were hiking ? How many were riding their bikes ?	VAR_1+VAR_0=[b],VAR_1=[a]+VAR_0	{'[a]': '178.0', '[b]': '676.0'}	[427.0,249.0]
Soybean meal is [a] % protein ; cornmeal is [b] % protein . How many pounds of each should be mixed together in order to get a 320-pound mixture that is [c] % protein ?	(([a]*0.01)*VAR_1)+(([b]*0.01)*VAR_0)=(320.0*[c])*0.01,VAR_1+VAR_0=320.0	{'[a]': '16.0', '[b]': '8.0', '[c]': '13.0'}	[200.0,120.0]
In a class of [a] students the number of girls is [b] of the number of boys . Find the number of girls in the class.	[b]*VAR_0=VAR_1,VAR_0+VAR_1=[a]	{'[a]': '35.0', '[b]': '0.4'}	[10.0]
The number of grocery items on two grocery lists differs by [a] . The total number of items is [b] . How many items are on each list ?	VAR_0+VAR_1=[b],VAR_0-VAR_1=[a]	{'[a]': '7.0', '[b]': '33.0'}	[13.0,20.0]
A baseball team has home games on Wednesday and Saturday . The two games together earn [a] dollars for the team . Wednesdays game generates [b] dollars less than Saturdays game . How much money was taken in at Wednesday 's game ? How much money was taken in at Saturday 's game ?	VAR_1+VAR_0=[a],VAR_1=VAR_0-[b]	{'[a]': '5182.5', '[b]': '142.5'}	[2520.0,2662.5]
The Coffee Counter charges [a] dollars per pound for Kenyan French Roast coffee and [b] dollars per pound for Sumatran coffee . How many pounds of Kenyan French Roast and Sumatran should be used to make a 20-pound blend that sells for [c] dollars per pound ?	([a]*VAR_0)+([b]*VAR_1)=20.0*[c],VAR_0+VAR_1=20.0	{'[a]': '9.0', '[b]': '8.0', '[c]': '8.4'}	[8.0,12.0]
A concert sells out a [a] seat arena . Main seat tickets cost [b] dollars , and back seat tickets for [c] dollars . The concert made [d] dollars . How many main seat tickets and back seat tickets were sold ?	([b]*VAR_1)+([c]*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '20000.0', '[b]': '55.0', '[c]': '45.0', '[d]': '955000.0'}	[5500.0,14500.0]
A high school graduating class is made up of [a] students . There are [b] more girls than boys . How many boys are in the class ?	VAR_0+VAR_1=[a],VAR_0=VAR_1-[b]	{'[a]': '485.0', '[b]': '69.0'}	[208.0]
[a] Pairs of jeans and [b] shirts costs [c] dollars . The cost of [d] jeans and [e] shirts is [f] dollars . Find the cost of each pair of jeans and each shirt.	([a]*VAR_0)+([b]*VAR_1)=[c],([d]*VAR_0)+([e]*VAR_1)=[f]	{'[a]': '3.0', '[b]': '6.0', '[c]': '104.25', '[d]': '4.0', '[e]': '5.0', '[f]': '112.15'}	[16.85,8.95]
Maggie has a job working in an office for [a] dollars an hour and another job driving a tractor for [b] dollars an hour . One week she works in the office twice as long as she drives the tractor . Her total income for that week is [c] dollars . How many hours did she spend at the office ? How many hours driving the tractor ?	([a]*VAR_0)+([b]*VAR_1)=[c],VAR_0=2.0*VAR_1	{'[a]': '10.0', '[b]': '12.0', '[c]': '416.0'}	[26.0,13.0]
The world 's oldest bride was [a] yr older than her groom . Together , their ages totaled [b] years . How old was the bride ? How old was the groom ?	VAR_0+VAR_1=[b],VAR_0=[a]+VAR_1	{'[a]': '19.0', '[b]': '185.0'}	[102.0,83.0]
[a] teams of scientists leave a university at the same time in special vans to search for tornadoes . the 1st team travel east at [b] miles per hour and the 2nd team travels west at [c] miles per hour . their radios have a range of [d] miles . How much time will pass before the scientists lose radio contact ?	([b]*VAR_0)+([c]*VAR_0)=[d]	{'[a]': '2.0', '[b]': '20.0', '[c]': '30.0', '[d]': '125.0'}	[2.5]
A catering company is setting up tables for a big event that will host [a] people . When they set up the tables they need [b] forks for each child and [c] forks for each adult . If the company ordered a total of [d] forks , how many adults and how many children will be attending the event ?	([c]*VAR_0)+([b]*VAR_1)=[d],VAR_0+VAR_1=[a]	{'[a]': '764.0', '[b]': '2.0', '[c]': '5.0', '[d]': '2992.0'}	[488.0,276.0]
A discount store sold plastic cups for [a] dollars each and ceramic cups for [b] dollars each . If [c] cups were sold for a total of [d] dollars , how many plastic cups and ceramic cups were sold ?	([a]*VAR_1)+([b]*VAR_0)=[d],VAR_1+VAR_0=[c]	{'[a]': '3.25', '[b]': '4.5', '[c]': '500.0', '[d]': '2090.0'}	[128.0,372.0]
In a given week , the first car gets an average of [a] miles per gallon , and the second car gets [b] miles per gallon . The two cars combined drive a total of [c] miles in that week , for a total gas consumption of [d] gallons . How many gallons were consumed by the first car that week ? How many gallons were consumed by the second car that week ?	([a]*VAR_0)+([b]*VAR_1)=[c],VAR_0+VAR_1=[d]	{'[a]': '30.0', '[b]': '25.0', '[c]': '1700.0', '[d]': '60.0'}	[40.0,20.0]
In a family there are [a] cars . The sum of the average miles per gallon obtained by the two cars in a particular week is [b] . The first car has consumed [c] gallons during that week , and the second car has consumed [d] gallons , for a total of [e] miles driven by the two cars combined . What was the average gas mileage obtained by each of the [a] cars that week ?	([c]*VAR_0)+([d]*VAR_1)=[e],VAR_0+VAR_1=[b]	{'[a]': '2.0', '[b]': '45.0', '[c]': '40.0', '[d]': '20.0', '[e]': '1400.0'}	[25.0,20.0]
There were [a] people at a play . The admission price was [b] dollars for adults and [c] dollars for children . The admission receipts were [d] dollars . How many adults and children attended ?	([b]*VAR_0)+([c]*VAR_1)=[d],VAR_0+VAR_1=[a]	{'[a]': '610.0', '[b]': '2.0', '[c]': '1.0', '[d]': '960.0'}	[350.0,260.0]
The sum of [a] numbers is [b] . [c] of the first number plus [d] of the second number is [e] . Find the smaller and the larger number.	[c]*VAR_1+[d]*VAR_0=[e],VAR_1+VAR_0=[b]	{'[a]': '2.0', '[b]': '27.0', '[c]': '0.5', '[d]': '0.3333', '[e]': '11.0'}	[12.0,15.0]
Didi invested a total of [a] dollars in two accounts paying [b] % and [c] % simple interest . If her total return at the end of the first year was [d] dollars , how much did she invest in each account ?	[b]*0.01*VAR_0+[c]*0.01*VAR_1=[d],VAR_0+VAR_1=[a]	{'[a]': '12000.0', '[b]': '7.5', '[c]': '6.0', '[d]': '840.0'}	[8000.0,4000.0]
In the 2000-2001 baseball season , the Seattle Mariners tied a league record set by the [a] Chicago Cubs for most wins in a season . The Mainers won [b] more than twice as many games as they lost . They played [c] regular season games . How many wins and losses did the mariners have ?	VAR_1+VAR_0=[c],VAR_1=(2.0*VAR_0)+[b]	{'[a]': '1906.0', '[b]': '24.0', '[c]': '162.0'}	[116.0,46.0]
One unit of whole wheat flour has [a] grams of protein and [b] grams of fat . One unit of whole milk has [c] grams of protein and [d] grams of fat . To the nearest tenth , find the number of units of whole wheat flour and whole milk that must be mixed to make dough that has [e] grams of protein and [f] grams of fat .	([a]*VAR_1)+([c]*VAR_0)=[e],([b]*VAR_1)+([d]*VAR_0)=[f]	{'[a]': '13.6', '[b]': '2.5', '[c]': '3.4', '[d]': '3.7', '[e]': '75.0', '[f]': '15.0'}	[5.41,0.394]
A physician 's assistant measures a child and finds that his height is [a] inches . At his last visit to the doctor's office , the child was [b] inches tall . How much did the child grow , in inches ?	VAR_0=[a]-[b]	{'[a]': '41.5', '[b]': '38.5'}	[3.0]
If [a] pounds of ground beef costs [b] dollars , how much does [c] pounds of ground beef cost ?	[a]*VAR_1=[b],[c]*VAR_1=VAR_0	{'[a]': '3.5', '[b]': '9.77', '[c]': '5.6'}	[15.62]
A theater sells children 's tickets for [a] dollars and adult tickets for [b] dollars . One night [c] tickets worth [d] dollars were sold . How many adult tickets were sold ? How many children 's tickets ?	([b]*VAR_0)+([a]*VAR_1)=[d],VAR_0+VAR_1=[c]	{'[a]': '4.0', '[b]': '7.0', '[c]': '575.0', '[d]': '3575.0'}	[425.0,150.0]
Mario has [a] pence to invest and decides to invest part of it at [b] % and the rest of it at [c] % . If the total interest for the year is [d] pence, how much does Mario has to invest at [b] % rate and how much does she has to invest at [c] % rate ?	(([b]*0.01)*VAR_1)+(([c]*0.01)*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '5000.0', '[b]': '4.0', '[c]': '6.5', '[d]': '245.0'}	[3200.0,1800.0]
Purses cost [a] dollars each . Scarves cost [b] dollars each . [c] combined items sold costing [d] dollars total . How many purses were sold ? How many scarves were sold ?	([a]*VAR_0)+([b]*VAR_1)=[d],VAR_0+VAR_1=[c]	{'[a]': '7.0', '[b]': '8.0', '[c]': '17.0', '[d]': '130.0'}	[6.0,11.0]
Pedro goes to the market and buys a total of [a] plums and peaches for [b] dollars . A plum costs [c] dollars and a peach costs [d] dollars . How many plums did Pedro buy ?	([c]*VAR_1)+([d]*VAR_0)=[b],VAR_1+VAR_0=[a]	{'[a]': '32.0', '[b]': '52.0', '[c]': '2.0', '[d]': '1.0'}	[20.0]
A bottle of wine with a cork cost [a] dollars . A bottle of wine without a cork costs [b] dollars more than the cork . What is the price of the cork ?	VAR_1+VAR_0=[a],VAR_1=[b]+VAR_0	{'[a]': '2.1', '[b]': '2.0'}	[0.05]
Mrs.Martin bought [a] cups of coffee and [b] bagels and spent [c] dollars . Mr.Martin bought [b] cups of coffee and [d] bagels and spent [e] dollars . Find the cost of one cup of coffee and the cost of one bagel.	([a]*VAR_1)+([b]*VAR_0)=[c],([b]*VAR_1)+([d]*VAR_0)=[e]	{'[a]': '3.0', '[b]': '2.0', '[c]': '12.75', '[d]': '5.0', '[e]': '14.0'}	[3.25,1.5]
A total of [a] tickets were sold for the school play . The number of student tickets sold was two times the number of adult tickets sold . How many adult tickets were sold ?	VAR_0+VAR_1=[a],VAR_1=2.0*VAR_0	{'[a]': '366.0'}	[122.0]
The length of a rectangular field is [a] meters . This is [b] meters less than twice the width . Find the width.	(2.0*VAR_0)-[b]=[a]	{'[a]': '24.0', '[b]': '3.0'}	[13.5]
The sum of two numbers is [a] . The difference between three times the smaller number and the larger number is [b] . Find the smaller number and the larger number.	(3.0*VAR_1)-VAR_0=[b],VAR_1+VAR_0=[a]	{'[a]': '48.0', '[b]': '16.0'}	[16.0,32.0]
A piece of rope [a] meters long is cut into two pieces so that the longest piece is twice as long as the shorter piece . How long are the two pieces ?	2.0*VAR_1=VAR_0,VAR_1+VAR_0=[a]	{'[a]': '60.0'}	[20.0,40.0]
There are [a] animals on a farm , each of which is either a pig or a chicken . There are [b] legs altogether . How many pigs are there ? How many chickens ?	(4.0*VAR_1)+(2.0*VAR_0)=[b],VAR_1+VAR_0=[a]	{'[a]': '41.0', '[b]': '100.0'}	[9.0,32.0]
Hockey teams receive [a] points when they win and [b] point when they tie . [b] season , a team won a championship with [c] points . They won [d] games more than they tied . How many wins and ties did the team have ?	([a]*VAR_1)+([b]*VAR_0)=[c],VAR_1=[d]+VAR_0	{'[a]': '2.0', '[b]': '1.0', '[c]': '60.0', '[d]': '12.0'}	[24.0,12.0]
On a canoe trip , Rita paddled upstream at an average speed of [a] miles per hour relative to the riverbank . On the return trip downstream, her average speed was [b] miles per hour . Find Rita 's paddling speed in still water and the speed of the river 's current .	VAR_1+VAR_0=[b],VAR_1-VAR_0=[a]	{'[a]': '2.0', '[b]': '3.0'}	[2.5,0.5]
Six apples and three oranges cost [a] dollars . Two apples and five oranges cost [b] dollars . Find the cost of each apple and the cost of an orange .	(6.0*VAR_0)+(3.0*VAR_1)=[a],(2.0*VAR_0)+(5.0*VAR_1)=[b]	{'[a]': '1.77', '[b]': '1.27'}	[0.21,0.17]
A chemist has two acid solutions . One solution is [a] % pure acid and the other is [b] % pure acid . How much of [a] % pure acid and [b] % pure acid is needed to produce [c] square-centimeters of a solution that is [d] % pure acid ?	(([a]*0.01)*VAR_1)+(([b]*0.01)*VAR_0)=([d]*0.01)*[c],VAR_1+VAR_0=[c]	{'[a]': '20.0', '[b]': '60.0', '[c]': '80.0', '[d]': '45.0'}	[30.0,50.0]
A cosmetologist has a bottle of [a] % hydrogen peroxide solution and a bottle of [b] % hydrogen peroxide solution . The cosmetologist needs [c] milliliters of a [d] % hydrogen peroxide solution . Find how many milliliters of each solution the cosmetologist needs to mix together.	(([a]*0.01)*VAR_1)+(([b]*0.01)*VAR_0)=[d]*0.01*[c],VAR_1+VAR_0=[c]	{'[a]': '7.0', '[b]': '4.0', '[c]': '300.0', '[d]': '5.0'}	[100.0,200.0]
Mitch is buying candy bars for his friends . He wants to give [a] bars to each friend , and he wants to have [b] spare bars . He can afford to buy [c] candy bars . How many friends can he treat ?	([a]*VAR_0)+[b]=[c]	{'[a]': '2.0', '[b]': '10.0', '[c]': '24.0'}	[7.0]
Bob invested [a] dollars , part at [b] % and part at [c] % . If the total interest at the end of the year is [d] dollars , how much did he invest at [b] % ?	[b]*0.01*VAR_0+[c]*0.01*VAR_1=[d],VAR_0+VAR_1=[a]	{'[a]': '22000.0', '[b]': '18.0', '[c]': '14.0', '[d]': '3360.0'}	[7000.0]
An airplane begins a flight with a total of [a] gallons of fuel stored in two separate wing tanks . During the flight , [b] % of the fuel in one tank is used , and in the other tank , [c] % of the fuel is used . If the total fuel used is [d] gallons , what are the amounts x and y stored in each tank .	(([b]*0.01)*VAR_0)+(([c]*0.01)*VAR_1)=[d],VAR_0+VAR_1=[a]	{'[a]': '36.0', '[b]': '25.0', '[c]': '37.5', '[d]': '11.2'}	[18.4,17.6]
John is writing an article . The article is limited to [a] words . He decides to use two types of font . Large font is [b] words per page , small font is [c] words per page . He is allowed [d] pages for this article . How many pages are in small font ? How many pages are in large font ?	VAR_1+VAR_0=[d],([c]*VAR_1)+([b]*VAR_0)=[a]	{'[a]': '48000.0', '[b]': '1800.0', '[c]': '2400.0', '[d]': '21.0'}	[17.0,4.0]
Find two numbers whose sum is [a] and whose difference is [b]	VAR_0+VAR_1=[a],VAR_0-VAR_1=[b]	{'[a]': '55.0', '[b]': '15.0'}	[20.0,35.0]
Adult tickets for a show cost [a] dollars while children 's tickets cost [b] dollars . If there were twice as many adults as children and the total receipts for the show were [c] dollars . How many adults were at the show ?	([a]*VAR_0)+([b]*VAR_1)=[c],VAR_0=2.0*VAR_1	{'[a]': '5.5', '[b]': '2.5', '[c]': '1026.0'}	[152.0]
The total number of Democrats and Republicans in the House of Representatives was [a] . There were [b] more Republicans then Democrats . How many Democrats and Republicans were there in the Senate ?	VAR_0+VAR_1=[a],VAR_0=VAR_1-[b]	{'[a]': '434.0', '[b]': '30.0'}	[202.0,232.0]
Find a number such that [a] more than [b] the number is [c] the number.	[a]+[b]*VAR_0=[c]*VAR_0	{'[a]': '1.0', '[b]': '0.6667', '[c]': '0.75'}	[12.0]
