水果店 有 梨子 [a] 千克 ， 卖出 [b] 千克 后 ， 又 运 来 一批 ， 现在 水果店 共有 梨子 [c] 千克 ． 水果店 又 运 来 梨子 多少 千克 ？	seq
	{'[a]': '20', '[b]': '4', '[c]': '6'}	2
	{'[a]': '15', '[b]': '3', '[c]': '2'}	10
甲 、 乙 两地 相距 [a] 米 ， 小 华 从 甲地 、 小 明 从 乙地 同时 相向 而 行 ， 小 华 每分钟 走 [b] 米 ， 小 明 每分钟 走 [c] 米 ． 两 人 几分 相遇 ？	seq
	{'[a]': '10', '[b]': '75'}	7500
	{'[a]': '720', '[b]': '25', '[c]': '24', '[d]': '30'}	4
果品 公司 运 来 [a] 筐 水果 ， 有 [b] 筐 是 香蕉 ， 其余 的 是 芒果 ， 香蕉 比 芒果 多 多少 筐 ？	seq
	{'[a]': '125', '[b]': '12', '[c]': '0.2727272727272727'}	30
	{'[a]': '300', '[b]': '5', '[c]': '600'}	900
	{'[a]': '650', '[b]': '200', '[c]': '150'}	20%
商店 各 进 了 苹果 和 梨子 [a] 筐 ， 苹果 每 筐 [b] 元 ， 梨子 每 筐 [c] 元 ， 进 这些 苹果 和 梨子 共用 了 多少 元 ？	seq
一 桶 油 ， 第一次 用 去 [a] 千克 ， 第 二 次 用 去 [b] 千克 ， 还 剩 [c] 千克 ． 这 桶 油 原 重 多少 千克 ？	seq
张 红 到 精品店 购买 一些 圣诞卡 ， 由于 圣诞卡 减价 [a] % 促销 ， 因而 她 带 的 钱 可比 原 计划 多 买 [b] 张 ， 张 红 原 计划 要 买 多少 张 圣诞卡 ．	seq
	{'[a]': '18', '[b]': '21', '[c]': '5'}	383
小 红 看 一 本书 ， [a] 天 看 了 [b] 页 ， 平均 每天 看 的 页数 是 这 本书 的 [c] ， 这 本书 有 多少 页 ？	seq
	{'[a]': '0.6666666666666666', '[b]': '0.3333333333333333'}	((1)/(9))
向阳 小学 植树 [a] 棵 ， 比 计划 多 植 [b] 棵 ， 超过 计划 的 百分之几 ？	seq
商店 运 来 [a] 千克 水果 ， 上午 卖出 [b] 千克 ， 下午 比 上午 多 卖出 [c] 千克 ， 这 一天 共 卖出 水果 多少 千克 ？	seq
一 块 布料 做 上衣 用 去 [a] ， 做 裙子 用 去 [b] ， 一 共用 去 这块 布 的 几分 之 几 ？	seq
在 一个 加法 算式 里 ， 一个 加数 是 [a] ， 和 是 这个 加数 的 [b] 倍 ， 另 一个 加数 = ．	seq
我们 原 计划 每天 加工 [a] 个 零件 ， [b] 天 完成 ． 实际 提前 [c] 天 完成 了 任务 ． 他们 实际 每天 加工 多少 个 零件 ？	seq
两地 相距 [a] 千米 ， 甲 、 乙 两辆 汽车 同时 从 两地 相对 开出 ， [b] 小时 相遇 ， 已知 甲 、 乙 两辆 汽车 的 速度 比 是 [c] ： [d] ， 甲 车行 了 多少 千米 ？	seq
新华 粮仓 有 [a] 袋 面粉 ， 要 分 [b] 次 运 完 ， 平均 每次 运 多少 袋 ？	x = [a] / [b]	{'[a]': '344', '[b]': '4'}	86
	{'[a]': '3', '[b]': '12', '[c]': '2'}	20
	{'[a]': '0.4', '[b]': '16', '[c]': '0.3333333333333333'}	60
	{'[a]': '14', '[b]': '8', '[c]': '360.64'}	3.22
一 本 [a] 页 的 故事书 ， 读 了 多少 页 后 ， 还 剩 全书 的 [b] ．	x = [a] * ( 1 - [b] )	{'[a]': '225', '[b]': '0.4'}	135
	{'[a]': '20', '[b]': '3', '[c]': '5', '[d]': '6', '[e]': '1', '[f]': '12'}	102
小 明 准备 用 [a] 元 零花钱 给 希望 小学 的 同学 买 学习用品 ， 如果 全部 买 A 种 钢笔 可以 购买 [b] 枝 ． 如果 买 B 种 钢笔 ， 每枝 就要 贵 [c] 元 ． 这笔 钱 可以 买 几枝 B 种 钢笔 ？	seq
	{'[a]': '2', '[b]': '76', '[c]': '18'}	684
5 （ [a] ） 班 学习 美术 的 学生 有 [b] 人 ， 是 学习 书法 的 学生 的 [c] ， 学习 书法 的 比 学习 美术 的 多 多少 人 ？	seq
有 两袋 大米 ， 甲 袋 大米 重 [a] kg ， 从 甲 袋 里 取出 它 的 [b] ， 这时 甲 袋 余下 的 大米 是 乙 袋 大米 的 [c] ． 乙 袋 有 大米 多少 千克 ？	seq
	{'[a]': '78', '[b]': '35'}	27.3
	{'[a]': '12', '[b]': '3'}	108
	{'[a]': '90', '[b]': '5', '[c]': '72'}	14
星光 小学 六年级 共有 学生 [a] 人 ， 其中 男生 [b] 人 ， 女生 人数 占 全年 级 的 几分 之 几 ？	seq
	{'[a]': '739', '[b]': '1729'}	990
	{'[a]': '14.58', '[b]': '1.92'}	27.24
	{'[a]': '9', '[b]': '0.8', '[c]': '20'}	6
联想 电脑 现在 的 售价 是 原来 价格 的 [a] ， 正好 降低 了 [b] 元 ， 现在 的 售价 = 多少 元 ？	seq
一 辆 汽车 从 甲地 到 乙地 ， 每 小时 行 [a] 千米 ， [b] 小时 到达 ． 如果 每 小时 多行 [c] 千米 ， 几小时 到达 ？	seq
商场 有 一种 衣服 售价 [a] 元 ， 比 原来 定价 便宜 [b] % ， 现价 比 原来 定价 便宜 多少 元 ？	seq
	{'[a]': '2', '[b]': '3', '[c]': '234'}	39
两列 火车 从 相距 [a] 千米 的 两地 同时 相对 开出 ， 经过 [b] 小时 两车 相遇 ． 甲 车 每 小时 行 [c] 千米 ， 乙 车 每 小时 行 多少 千米 ？	seq
	{'[a]': '50', '[b]': '20', '[c]': '1.5', '[d]': '25', '[e]': '8'}	7.5
	{'[a]': '70', '[b]': '85', '[c]': '11'}	165
	{'[a]': '25', '[b]': '3'}	47
一 个 工人 要 磨 面粉 [a] 千克 ， [b] 小时 磨 了 [c] 千克 ． 照 这样 计算 ， 磨 完 剩下 的 面粉 还要 几小时 ？	seq
李 明 家 去年 养鸭 [a] 只 ， 今年 比 去年 多 [b] 只 ， 今年 和 去年 一共 养 了 多少 只 ？	seq
	{'[a]': '20000', '[b]': '3', '[c]': '5.40', '[d]': '5'}	23078
	{'[a]': '600', '[b]': '5', '[c]': '50'}	70
	{'[a]': '18', '[b]': '90', '[c]': '3', '[d]': '315'}	21
大 卖场 运 来 [a] 盒 薯片 ， 比 运 来 的 巧克力 少 [b] 盒 ， 大 卖场 运 来 的 巧克力 多少 盒 ？	seq
李老师 买 [a] 个 排球 花 了 [b] 元 ， 他 还 想 再 买 [c] 个 同样 的 排球 ， 需要 再 准备 多少 元 ？	seq
	{'[a]': '8', '[b]': '80', '[c]': '5'}	128
李 明 在 杂志 上 发表 了 一篇 文章 ， 得到 稿费 [a] 元 ． 按 [b] % 的 税率 缴税 后 ， 李 明 还 剩 多少 钱 ？	seq
	{'[a]': '1200', '[b]': '0.3333333333333333', '[c]': '0.4'}	320
	{'[a]': '10', '[b]': '1'}	11
一 堆 煤 [a] 吨 ， 又 运 来 它 的 [b] ， 又 运 来 的 煤 = 多少 吨 ？	x = [a] * [b]	{'[a]': '12', '[b]': '0.25'}	3
	{'[a]': '8.3', '[b]': '2.5', '[c]': '3.7'}	4.8
计算 ： [a] - [b] = ．	seq
一 套 西服 打 [a] 后 售价 [b] 元 ， 这 套 西服 原价 多少 元 ．	x = [b] / [a]	{'[a]': '0.8', '[b]': '168'}	210
小 红 每天 用 [a] 小时 完成 家庭作业 ， 其中 语文 作业 占 了 [b] ， 语文 作业 用 了 多少 时间 ？	x = [a] * [b]	{'[a]': '0.8333333333333334', '[b]': '0.4'}	((1)/(3))
李师傅 每 小时 加工 零件 [a] 个 ， 王师傅 每 小时 加工 零件 [b] 个 ， 两 人 一起 加工 [c] 小时 ， 一共 可以 零件 多少 个 ？	seq
	{'[a]': '75.2', '[b]': '80.08', '[c]': '200'}	44.72
不 改变 [a] 的 大小 ， 把 它 改写 成 3 位 小数 = ．	seq
四年级 同学 准备 制作 [a] 个 小 灯笼 庆祝 国庆节 ， 已经 做 了 [b] 天 ， 还 剩 [c] 个 没 做 ， 平均 每天 做 多少 个 ？	seq
一 个数 除以 [a] 得 [b] ， 余数 是 [c] ， 这个 数 = ．	seq
	{'[a]': '800', '[b]': '20'}	1440
一 个 装满 小麦 的 圆柱形 粮囤 高 [a] 米 ， 占地面积 [b] 平方米 ． 把 这些 小麦 全部 装进 粮仓 中 ， 正好 占 整个 粮仓 的 [c] % ， 这个 粮仓 的 容积 = 多少 立方米 ？	seq
	{'[a]': '720', '[b]': '80', '[c]': '10'}	8
一 个数 除以 [a] ， 除以 [b] ， 除以 [c] 都 余 [d] ， 这个 数 最小 = ．	seq
小林 家 今年 售出 自家 种植 的 草皮 ， 每平方米 [a] 元 ， 收入 [b] 元 ， 小林 家 出售 了 多少 平方米 的 草皮 ？	x = [b] / [a]	{'[a]': '6.5', '[b]': '455'}	70
王 丽 从 学校 出发 去 县 新华书店 ， 去 时 速度 每 小时 [a] 千米 ， 用 了 [b] 小时 ， 返回 时 用 了 [c] 小时 ， 那么 返回 时 速度 = ？	x = [a] * [b] / [c]	{'[a]': '34', '[b]': '3', '[c]': '2'}	51
	{'[a]': '57', '[b]': '55'}	3135
甲 数 的 [a] % 是 乙 数 ， 乙 数 的 [b] % 是 [c] ， 甲 数 = ？	seq
	{'[a]': '40', '[b]': '3'}	160
	{'[a]': '2.8', '[b]': '0.8', '[c]': '0.6'}	2
	{'[a]': '5', '[b]': '7'}	11
某 商店 有 [a] 筐 苹果 ， 每 筐 重 [b] 千克 ， 运 来 的 苹果 重量 是 梨 的 [c] 倍 ， 运 来 梨 多少 千克 ？	x = [a] * [b] / [c]	{'[a]': '36', '[b]': '40', '[c]': '8'}	180
小 明 [a] 天 看 了 全书 的 [b] ， 求 平均 每天 看 了 全书 的 几分 之 几 ？	x = [b] / [a]	{'[a]': '3', '[b]': '0.9'}	((3)/(10))
一 本 故事书 [a] 页 ， 第一周 看 了 全书 的 [b] ， 第 二 周 看 了 全书 的 [c] ， 还 剩 多少 页 没 看 ？	seq
	{'[a]': '8.6', '[b]': '1.2', '[c]': '2.8'}	4.6
	{'[a]': '150', '[b]': '0.25'}	120
学校 组织 4 、 五年级 学生 看望 烈士 家属 ， 四年级 去 了 [a] 人 ， 五年级 去 的 人数 是 四年级 的 [b] 倍 ， 他们 一共 去 了 多少 人 ？	seq
	{'[a]': '30.6', '[b]': '12.1', '[c]': '8.7'}	9.8
	{'[a]': '10', '[b]': '540', '[c]': '9', '[d]': '11'}	1542((6)/(7))
皇朝 家具城 运 来 [a] 车 椅子 ， 每 车 [b] 把 ， 每 把 椅子 的 售价 是 [c] 元 ． 这 批 椅子 一共 可以 卖 多少 元 ？	seq
超市 运回 [a] 箱 牛奶 ， 每箱 有 [b] 袋 ， 每 袋 进价 [c] 元 ， 这些 牛奶 的 总 进价 = 多少 元 ？	x = [a] * [b] * [c]	{'[a]': '8', '[b]': '24', '[c]': '1.25'}	240
大别山 希望 小学 新建 一座 教学楼 ， 原 计划 投资 [a] 万元 ， 实际 投资 是 计划 的 [b] % ， 实际 投资 了 多少 万元 ？	seq
	{'[a]': '1.84', '[b]': '0.9', '[c]': '2.04'}	0.004
已知 两个 因数 的 积 是 [a] ， 如果 其中 一个 因数 是 [b] ， 那 一个 因数 = ．	x = [a] / [b]	{'[a]': '116.5', '[b]': '8'}	14.5625
重庆市 共有 [a] 个 辖区 ， 其中 有 [b] 个 县 ， 其余 都 是 市辖区 ． 市辖区 的 个数 占 辖区 总数 的 几分 之 几 ？	seq
[a] 吨 的 [b] 与 多少 的 [c] % 相等 ．	seq
某 工厂 甲 、 乙 两个 车间 人数 的 比 是 [a] ： [b] ， 因 工作 需要 从 甲 车间 调 [c] 人 到 乙 车 ， 这时 乙 车间 人数 占 两个 车间 人数 的 [d] ， 现在 乙 车间 有 多少 人 ？	seq
	{'[a]': '0.16666666666666666', '[b]': '0.4', '[c]': '0.25', '[d]': '140'}	560
从 [a] 的 倒数 里 减去 [b] / [c] 的 商 ， 差 = ？	seq
一 个 长方形 宽 [a] 米 ， 长 是 宽 的 [b] 倍 ， 这个 长方形 的 周长 = ．	seq
	{'[a]': '210', '[b]': '32.9', '[c]': '43'}	((43)/(210))
李 叔叔 开 货车 从 佛山 运货 到 东莞 用 了 [a] 小时 ， 货车 的 速度 是 [b] 千米 / 时 ， 返回 时 只用 了 [c] 小时 ， 李 叔叔 返回 时 平均 每 小时 行 多少 千米 ？	x = [a] * [b] / [c]	{'[a]': '3', '[b]': '40', '[c]': '2'}	60
	{'[a]': '90', '[b]': '0.75', '[c]': '0.3333333333333333'}	40
	{'[a]': '111', '[b]': '66', '[c]': '185', '[d]': '8', '[e]': '37'}	158
明明 买 图画 本 用 去 了 [a] 元 ， 他 现在 还 剩 [b] 元 钱 ， 他 原来 有 多少 钱 ？	seq
修路 队 修 一条 [a] 米 公路 ， 它 修 了 [b] 天 ， 还 剩下 [c] 米 没 修 完 ． 平均 每天 修 多少 米 ？	seq
	{'[a]': '2', '[b]': '3'}	6
把 [a] 块 月饼 平均 分给 [b] 个人 ， 每人 分 得 多少 块 ．	x = [a] / [b]	{'[a]': '4', '[b]': '5'}	((4)/(5))
	{'[a]': '10', '[b]': '0.2', '[c]': '50'}	200
小 明 家 的 鸡 一 天下 [a] 个 鸡蛋 ， 一共 重 [b] 千克 ， 平均 每个 鸡蛋 重 多少 千克 ？	x = [b] / [a]	{'[a]': '8', '[b]': '0.8'}	((1)/(10))
	{'[a]': '3', '[b]': '80', '[c]': '40'}	360
一 辆 汽车 从 甲地 开往 乙地 ， 每 小时 行 [a] 千米 ， [b] 小时 后 恰好 行 了 全程 的 [c] ， 求 甲乙 两地 的 路程 ．	x = [a] * [b] / [c]	{'[a]': '45', '[b]': '3', '[c]': '0.7142857142857143'}	189
	{'[a]': '0.4', '[b]': '15'}	25
	{'[a]': '4', '[b]': '5', '[c]': '8', '[d]': '9', '[e]': '1'}	361
挖 一条 水渠 ， 第一天 挖 [a] km ， 比 第 二 天 少 挖 [b] km ， 还 剩 [c] km 没有 挖 ． 这 条 水渠 全长 多少 千米 ？	seq
养鸡 厂 今年 养鸡 [a] 只 ， 比 去年 增加 了 [b] ， 去年 养鸡 多少 只 ．	seq
一 台 碾 石机 [a] 小时 可以 碾 石 [b] 吨 ， 照 这样 计算 ， 碾 1 吨 石 需要 多少 小时 ．	x = [a] / [b]	{'[a]': '0.75', '[b]': '2.142857142857143'}	((7)/(20))
小 明 乘 索道 缆车 上山 途中 发现 从 对面 过来 的 缆车 有 [a] 个 ， 那么 在 这 条 索道 上 共有 缆车 多少 个 ．	seq
杭州 地铁 施工 某地 段长 [a] 千米 ， 前 [b] 天 施工 完成 [c] 千米 ， 照 这样 计算 ， 完成 这 一路 段 还要 用 多少 天 ？	seq
书店 有 一批 书 ， 第一天 卖出 的 比 这 批 书 的 [a] 少 [b] 本 ， 这时 还 剩下 总数 的 [c] ， 这 批 书 共有 多少 本 ？	seq
	{'[a]': '2000', '[b]': '0.3333333333333333'}	1500
用 [a] 根 短绳 连成 一条 长绳 ， 一共 要 打 多少 个 结 ．	seq
非洲 野狗 的 最高 速度 是 [a] 千米 / 时 ， 鸵鸟 的 最高 速度 是 非洲 野狗 的 [b] 倍 ， 鸵鸟 的 最高 速度 = 多少 千米 / 时 ？	x = [a] * [b]	{'[a]': '56', '[b]': '1.3'}	72.8
王老师 带 3 （ 1 ） 班 [a] 名 学生 去 动物园 ． 动物园 成人 票 [b] 元 一张 ， 学生票 [c] 元 一张 ， 买 门票 一共 需要 多少 钱 ？	seq
如今 国家 正在 实行 “ 电器 下乡 ” ， 政府 对 农民 购买 家电产品 时 按 产品 销售价 的 [a] % 进行 财政补贴 的 优惠政策 ， 张 大爷 享受 了 这 一 政策 买 了 一台 空调 ， 从 政府 获得 补贴 [b] 元 ， 请问 这 台 空调 的 销售价 = 多少 元 ？	seq
	{'[a]': '1976', '[b]': '55'}	2031
一 匹 马 运 了 [a] 千克 货物 ， 一匹 骆驼 运 的 货物 是 这 匹 马 的 [b] 倍 ， 它 俩 一共 运 了 多少 千克 货物 ？	seq
家电 商场 昨天上午 卖出 [a] 台 电风扇 ， 下午 又 卖出 同样 的 电风扇 [b] 台 ． 已知 每 台 电风扇 的 售价 相同 ， 且 下午 卖 的 电风扇 比 上午 多 收入 [c] 元 ． 每 台 电风扇 多少 元 ？	seq
	{'[a]': '25', '[b]': '32', '[c]': '40'}	95
一 座 大桥 长 [a] 米 ， 一列 长 [b] 米 得 火车 以 每秒 [c] 米 得 速度 通过 这 座 大桥 ， 从 车 头上 桥 到 车尾 离开 桥 一共 需要 多少 秒 ．	seq
	{'[a]': '42', '[b]': '24', '[c]': '3'}	6
有 大小 两种 包装 的 面粉 各 [a] 袋 ， 大袋 每包 [b] 千克 ， 小袋 每包 [c] 千克 ． 一共 有 多少 千克 面粉 ？	seq
把 一个 西瓜 平均 分给 [a] 个 小朋友 ， 每人 得到 这个 西瓜 的 多少 ．	seq
学校 有 [a] 棵 杨树 ， 松树 的 棵 数 是 杨树 的 [b] 倍 ， 柳树 比 松树 少 [c] 棵 ， 有 多少 棵 柳树 ．	seq
同学 们 栽树 ， 四年级 载 了 [a] 棵 ， 五年级 载 的 棵 数 比 四年级 的 [b] 倍 少 [c] 棵 ， 五年级 比 四年级 多载 多少 棵 ？	seq
	{'[a]': '4', '[b]': '0.5'}	((7)/(9))
	{'[a]': '18', '[b]': '20', '[c]': '6'}	228
	{'[a]': '4', '[b]': '120', '[c]': '56'}	536
学校 生物 小组 制作 昆虫 标本 [a] 件 ， 制作 的 植物 标本 比 昆虫 标本 的 [b] 倍 少 [c] 件 ． 生物 小组 制作 植物 标本 多少 件 ？	seq
倒数 是 [a] 的 数 = ．	seq
李老师 要 批改 [a] 篇 作文 ， 已经 批改 了 [b] 篇 ． 剩下 的 如果 每 小时 批改 [c] 篇 ， 还要 几小时 能 批改 完 ？	seq
“ 6 一 ” 期间 ， 义乌 解百 商场 举行 [a] 的 促销 活动 ， 王 丽 买 了 一件 上衣 花 了 [b] 元 ， 这件 上衣 的 原价 = 多少 元 ．	x = [b] / [a]	{'[a]': '0.85', '[b]': '102'}	120
李师傅 带 了 [a] 元 到 市场 ， 先买 了 [b] 元 蔬菜 ， 余下 的 钱 刚好 买 了 [c] 袋 大米 ， 每 袋 大米 的 价钱 = 多少 元 ？	seq
一 本书 打 [a] 出售 的 售价 是 [b] 元 ， 这 本书 的 原价 = 多少 元 ．	x = [b] / [a]	{'[a]': '0.75', '[b]': '12'}	16
	{'[a]': '150', '[b]': '15', '[c]': '1.5'}	110
	{'[a]': '3.45', '[b]': '0.68'}	6.22
	{'[a]': '120', '[b]': '90'}	25%
小 明 在 一天 中 测量 了 [a] 次 气温 ， 分别 是 ： [b] ° C 、 [c] ° C 、 [d] ° C 、 [e] ° C 、 [f] ° C 、 [g] ° C ． 这 一天 的 平均气温 = 多少 ° C ．	seq
	{'[a]': '2600', '[b]': '3', '[c]': '800'}	7000
	{'[a]': '0.4', '[b]': '120'}	200
被减数 比 差 多 [a] ， 比 减数 多 [b] ， 被减数 = ．	seq
	{'[a]': '400', '[b]': '450', '[c]': '250'}	2
	{'[a]': '2400', '[b]': '0.42857142857142855'}	1680
光华 电机厂 第 二 车间 计划 [a] 天 生产 135 型 凤凰 相机 [b] 架 ， 实际 超额 [c] ， 实际 生产 了 多少 架 ．	seq
淘气 看 一 本书 ， 第一天 看 了 全书 的 [a] ， 第 二 天 看 了 全书 的 [b] ， 还 剩 全书 的 几分 之 几 没 看 ？	seq
我 既 是 [a] 的 倍数 ， 又 是 [b] 的 倍数 ， 也 是 [c] 的 倍数 ， 且 比 [d] 小 ， 我 是 谁 ？	seq
一 个数 除以 [a] ， 商 是 [b] 、 余数 是 [c] ， 这个 数 = ．	seq
	{'[a]': '420', '[b]': '3', '[c]': '80'}	60
	{'[a]': '120', '[b]': '0.25'}	31
	{'[a]': '16', '[b]': '8'}	128
小林 家养 了 [a] 只 鸡 ， 小 东家 养鸡 的 只 数 是 小林 家 的 [b] 倍 ． 小林 和 小 东家 一共 养 了 多少 只 鸡 ？	seq
	{'[a]': '0.125', '[b]': '1', '[c]': '0.625'}	5
	{'[a]': '2', '[b]': '5', '[c]': '4.5', '[d]': '2.5'}	10
	{'[a]': '7.50', '[b]': '7.00'}	0.50
[a] / [b] 与 [c] 的 积 ， 商 = ？	seq
一 节 课 的 时间 是 [a] 小时 ， 老师 讲课 用 了 [b] 小时 ， 同学 们 用于 探索 、 实践 活动 的 时间 是 [c] 小时 ， 剩下 的 是 同学 们 独立 作业 的 时间 ． 同学 们 独立 作业 的 时间 = 多少 小时 ？	seq
体育组 共有 [a] 根 跳绳 ， [b] 组 小朋友 参加 跳绳 比赛 ， 每组 需要 [c] 根 跳绳 ， 问 ： 还 剩下 多少 根 跳绳 ？	seq
	{'[a]': '16', '[b]': '40'}	24
	{'[a]': '4', '[b]': '72', '[c]': '35'}	428
	{'[a]': '3', '[b]': '440', '[c]': '5', '[d]': '600'}	200
	{'[a]': '80', '[b]': '0.25'}	100
学校 走廊 的 柱子 高 [a] 米 ， 底面 周长 [b] 米 ， 给 [c] 根 这样 的 柱子 刷油漆 ， 每千克 油漆 可以 漆 [d] 平方米 ， 一共 要 用 油漆 多少 千克 ？	seq
	{'[a]': '2', '[b]': '3', '[c]': '56', '[d]': '0.75'}	160
[a] 个 小朋友 在 玩 捉迷藏 的 游戏 ， 已经 捉 到 了 其中 的 [b] 个人 ， 藏 起来 还 没有 捉 到 的 小朋友 有 多少 个 ．	seq
一 座 大桥 长 [a] 米 ， 一列 火车 通过 这 座 大桥 时 每分钟 行驶 [b] 米 ， 从 车头 开 上 桥 到 车尾 离开 桥 一 共用 了 [c] 分钟 ． 这 列 火车 长 多少 米 哦 ？	seq
某 学校 里 三年级 有 [a] 个 男生 ， 比 女生 少 [b] 人 ， 三年级 一共 有 多少 人 ？	seq
	{'[a]': '0.5', '[b]': '1'}	4
	{'[a]': '0.5', '[b]': '24', '[c]': '0.1'}	20
一 桶 水 连 桶 共 重 [a] 千克 ， 把 水 倒 出 [b] 后 ， 重 [c] 千克 ， 空桶 重 多少 千克 ．	seq
小 华 用 [a] 元 钱 买 了 [b] 个 书包 ， 找回 [c] 元 ， 每个 书包 多少 钱 ？	seq
	{'[a]': '16', '[b]': '0.1', '[c]': '12.5'}	3.6
	{'[a]': '195', '[b]': '5', '[c]': '24', '[d]': '3'}	25
多少 人 比 [a] 人 少 [b] ．	x = [a] * ( 1 - [b] )	{'[a]': '80', '[b]': '0.125'}	70
	{'[a]': '26', '[b]': '40', '[c]': '20', '[d]': '15'}	1120
	{'[a]': '1200', '[b]': '40', '[c]': '30'}	10
	{'[a]': '8', '[b]': '0.4', '[c]': '6'}	((1)/(10))
	{'[a]': '64', '[b]': '80', '[c]': '1.5'}	6
[a] 与 [b] 的 差 ， 乘 [c] 与 [d] 的 和 ， 积 = ？	seq
	{'[a]': '120', '[b]': '62.5'}	45
	{'[a]': '260', '[b]': '55', '[c]': '25'}	52
世界 第一 大河 是 南美洲 的 亚马逊河 ， 全长 [a] 千米 ． 我国 的 长江 是 世界 第 3 大河 ， 全长 比 亚马逊河 短 [b] ． 长江 全长 为 多少 千米 ？	x = [a] * ( 1 - [b] )	{'[a]': '6480', '[b]': '0.027777777777777776'}	6300
一 个 篮球 [a] 元 ， 学校 要 购买 [b] 只 篮球 ， 一共 要 花 几元 钱 ？	x = [a] * [b]	{'[a]': '125', '[b]': '9'}	1125
水 步 中心小学 的 学生 参加 舞蹈 表演 ， 有 [a] 名 女生 参加 ， 女生 的 人数 是 男生 的 [b] 倍 ． 参加 舞蹈 表演 的 学生 一共 有 多少 人 ？	seq
姐姐 上 大学 ， 要 坐 [a] 小时 的 汽车 ， 汽车 的 平均速度 是 [b] 千米 / 时 ． 她 坐 汽车 走 了 多少 千米 ？	seq
